Country,GoldMedals,Silver,Bronze,TotalMedals,BordaPoints,Income,PopnSize,GDP,Income SQ,PopnSQ,IncomeCubed,PopnCubed,GDPSQ,GDPCubed,Ln(Income),Ln(PopnSize),Ln(GDP),Key to Variables
Seychelles,0,0,0,0,0,1.117,8.40E-05,9.39E-05,1.247689,7.06E-09,1.393668613,5.93E-13,8.81E-09,6.84E-25,0.11064652,-9.384265837,-9.273619317,


Sierra Leon,0,0,0,0,0,0.0366,0.005487591,0.000200846,0.00133956,3.01E-05,4.90E-05,1.65E-07,4.03E-08,6.56E-23,-3.307707039,-5.205265837,-8.512972876,


Solomon Islands,0,0,0,0,0,0.1553,0.000522824,8.12E-05,0.02411809,2.73E-07,0.003745539,1.43E-10,6.59E-09,2.87E-25,-1.862396549,-7.556265837,-9.418662386,


Somalia,0,0,0,0,0,0.06,0.010089441,0.000605366,0.0036,0.000101797,0.000216,1.03E-06,3.66E-07,4.92E-20,-2.813410717,-4.596265837,-7.409676554,


Sri Lanka,0,0,0,0,0,0.2877,0.020277045,0.005833706,0.08277129,0.000411159,0.0238133,8.34E-06,3.40E-05,3.94E-14,-1.245837008,-3.898265837,-5.144102845,


Sudan,0,0,0,0,0,0.2496,0.030891759,0.007710583,0.06230016,0.000954301,0.01555012,2.95E-05,5.95E-05,2.10E-13,-1.387895642,-3.477265837,-4.865161479,


Suriname,0,0,0,0,0,0.7096,0.000560172,0.000397498,0.50353216,3.14E-07,0.357306421,1.76E-10,1.58E-07,3.94E-21,-0.343053848,-7.487265837,-7.830319685,


Swaziland,0,0,0,0,0,0.3358,0.0011847,0.000397822,0.11276164,1.40E-06,0.037865359,1.66E-09,1.58E-07,3.96E-21,-1.091239534,-6.738265837,-7.829505371,


Syria,0,0,0,0,0,0.2802,0.022521929,0.006310644,0.07851204,0.000507237,0.021999074,1.14E-05,3.98E-05,6.32E-14,-1.272251645,-3.793265837,-5.065517482,


Tanzania,0,0,0,0,0,0.0533,0.043184837,0.002301752,0.00284089,0.00186493,0.000151419,8.05E-05,5.30E-06,1.49E-16,-2.931818948,-3.142265837,-6.074084785,


Timor-Leste,0,0,0,0,0,0.3949,0.001066614,0.000421206,0.15594601,1.14E-06,0.061583079,1.21E-09,1.77E-07,5.58E-21,-0.929122711,-6.843265837,-7.772388548,


Togo,0,0,0,0,0,0.0505,0.00661599,0.000334107,0.00255025,4.38E-05,0.000128788,2.90E-07,1.12E-07,1.39E-21,-2.985781943,-5.018265837,-8.00404778,


Tonga,0,0,0,0,0,0.422,0.000103053,4.35E-05,0.178084,1.06E-08,0.075151448,1.09E-12,1.89E-09,6.76E-27,-0.862749965,-9.180265837,-10.0430158,


Turkmenistan,0,0,0,0,0,0.4658,0.00512684,0.002388082,0.21696964,2.63E-05,0.101064458,1.35E-07,5.70E-06,1.85E-16,-0.763998922,-5.273265837,-6.037264758,


Tuvalu,0,0,0,0,0,0.34,1.05E-05,3.58E-06,0.1156,1.11E-10,0.039304,1.17E-15,1.28E-11,2.12E-33,-1.078809661,-11.46026584,-12.5390755,


